GeneID,GeneName,p-value,log2FC
ENSG00000000003,TSPAN6,0.035330586,-0.6
ENSG00000000005,TNMD,1,0
ENSG00000000419,DPM1,0.00609831,-0.6
ENSG00000000457,SCYL3,0.228711452,0.4
ENSG00000000460,C1orf112,0.09331288,-0.6
ENSG00000000938,FGR,0.004987239,3.2
ENSG00000000971,CFH,0.814269168,0.2
ENSG00000001036,FUCA2,0.961200498,0
ENSG00000001084,GCLC,0.389521467,0.3
ENSG00000001167,NFYA,0.005243071,-0.7
ENSG00000001460,STPG1,0.103654071,0.5
ENSG00000001461,NIPAL3,0.133272602,0.5
ENSG00000001497,LAS1L,0.007930374,-0.7
ENSG00000001561,ENPP4,8.29e-18,6.8
ENSG00000001617,SEMA3F,4.5e-21,6
ENSG00000001626,CFTR,1,0
ENSG00000001629,ANKIB1,0.000269583,-0.7
ENSG00000001630,CYP51A1,0.154316671,1.2
ENSG00000001631,KRIT1,0.08905674,-0.5
ENSG00000002016,RAD52,0.631203475,-0.2
ENSG00000002079,MYH16,0.383337127,1.2
ENSG00000002330,BAD,4.3e-05,3.1
ENSG00000002549,LAP3,0.252573492,-0.5
ENSG00000002586,CD99,0.001151744,1.1
ENSG00000002587,HS3ST1,1,0.2
ENSG00000002726,AOC1,1,0
ENSG00000002745,WNT16,7.49e-07,3.8
ENSG00000002746,HECW1,0.000100193,1.1
ENSG00000002822,MAD1L1,0.528743723,-0.2
ENSG00000002834,LASP1,0.615289948,-0.2
ENSG00000002919,SNX11,0.654832512,-0.2
ENSG00000002933,TMEM176A,0.043309887,2.7
ENSG00000003056,M6PR,0.109442977,0.5
ENSG00000003096,KLHL13,3.29e-08,4.3
ENSG00000003137,CYP26B1,0.735458796,0.3
ENSG00000003147,ICA1,1,0.5
ENSG00000003249,DBNDD1,0.121661227,-0.9
ENSG00000003393,ALS2,0.083356994,-0.4
ENSG00000003400,CASP10,1.07e-10,4
ENSG00000003402,CFLAR,6.1e-07,0.9
ENSG00000003436,TFPI,3.04e-73,3.9
ENSG00000003509,NDUFAF7,0.109676495,-0.6
ENSG00000003756,RBM5,0.953987247,0
ENSG00000003987,MTMR7,0.56881563,0.4
ENSG00000003989,SLC7A2,0.203537869,1.8
ENSG00000004059,ARF5,0.117824923,-0.5
ENSG00000004139,SARM1,6.05e-06,2.3
ENSG00000004142,POLDIP2,0.653537325,-0.2
ENSG00000004399,PLXND1,8.26e-27,3
ENSG00000004455,AK2,3.35e-09,-1.1
ENSG00000004468,CD38,0.616377812,0.8
ENSG00000004478,FKBP4,0.014723377,-1.1
ENSG00000004487,KDM1A,1.79e-07,-1
ENSG00000004534,RBM6,0.649412992,0.2
ENSG00000004660,CAMKK1,0.000448492,1.4
ENSG00000004700,RECQL,0.615373965,-0.1
ENSG00000004766,VPS50,0.130383018,-0.4
ENSG00000004776,HSPB6,0.338080302,-0.7
ENSG00000004777,ARHGAP33,0.607514702,-0.3
ENSG00000004779,NDUFAB1,0.026892557,-0.6
ENSG00000004799,PDK4,1.92e-14,6.3
ENSG00000004809,SLC22A16,1,1.3
ENSG00000004838,ZMYND10,0.33143205,0.9
ENSG00000004846,ABCB5,0.135919597,1.9
ENSG00000004848,ARX,1,0.4
ENSG00000004864,SLC25A13,0.001561444,-1
ENSG00000004866,ST7,1.41e-08,-1.3
ENSG00000004866,ST7,1.41e-08,-1.3
ENSG00000004897,CDC27,0.186537376,-0.5
ENSG00000004939,SLC4A1,1,0.4
ENSG00000004948,CALCR,1,0.2
ENSG00000004961,HCCS,0.393431249,0.3
ENSG00000004975,DVL2,0.136589506,0.5
ENSG00000005001,PRSS22,0.159089921,2
ENSG00000005007,UPF1,0.611565389,-0.2
ENSG00000005020,SKAP2,0.343021842,-0.4
ENSG00000005022,SLC25A5,1.78e-06,-1.1
ENSG00000005059,MCUB,0.214819918,-0.7
ENSG00000005073,HOXA11,0.001294084,2
ENSG00000005075,POLR2J,0.790642043,0.2
ENSG00000005100,DHX33,0.002892784,-0.9
ENSG00000005102,MEOX1,0.376527516,1.2
ENSG00000005108,THSD7A,0.396238461,0.9
ENSG00000005156,LIG3,0.001295427,-1
ENSG00000005175,RPAP3,0.814269168,-0.1
ENSG00000005187,ACSM3,0.862981866,0.2
ENSG00000005189,REXO5,0.807935334,-0.1
